"REGION"|"WBAN_ID"|"STATION_NAME"|"STATE_PROVINCE"|"COUNTY"|"COUNTRY"|"EXTENDED_NAME"|"CALL_SIGN"|"STATION_TYPE"|"DATE_ASSIGNED"|"BEGIN_DATE"|"COMMENTS"|"LOCATION"|"ELEV_OTHER"|"ELEV_GROUND"|"ELEV_RUNWAY"|"ELEV_BAROMETRIC"|"ELEV_STATION"|"ELEV_UPPER_AIR"
"240/940"|"00000"|"WOLF POINT"|"MT"||"US"||"OLF"|"FAA EXP"|"06/15/2010"||"THIS WBAN WAS ASSIGNED 00000 WAS CORRECTED TO 94017"|"48*05'40""N 105*35'28""W"||||||
"000"|"00100"|"DEXTER B FLORENCE MEMORIAL FIELD AP"|"AR"||"US"||"M89"|"METAR"|"09/21/2012"|"8/1/1960"|"ASSIGNED FOR METAR LOAD FOR QCLCD/ISD"|"34 05 59 N/ -93 03 57 W"||"182 FT"||||
"230/030"|"03001"|"NORTHRUP STRIP WSMR"|"NM"||"US"|||"U/A"||||||||||
"230/030"|"03002"|"STALLION RANGE WSMR"|"NM"||"US"|||"U/A"||||||||||
"230/030"|"03003"|"JALLEN RANGE WSMR"|"NM"||"US"|||"U/A"||||||||||
"230/030"|"03004"|"WHITE SANDS MISSEL RANGE C SITE"|"NM"||"US"|"MILITARY SURFACE"||||||||||||
"230/030"|"03005"|"DILLON IE"|"CO"||"US"|||"COOP"|||"DLLC2 TDL REQUEST"|"39 38 N / 106 02 W"||||||
"230/030"|"03006"|"TAYLOR PARK"|"CO"||"US"|||"COOP"|||"CRBC2 TDL REQUEST"|"38 49 N / 106 37 W"||||||
"230/030"|"03007"|"OURAY"|"CO"||"US"|||"COOP"|||"OURC2 TDL REQUEST"|||||||
"230/030"|"03008"|"VALLECITO DAM"|"CO"||"US"|||"COOP"|||"VLRC2 TDL REQUEST"|"37 22 N / 107 35 W"||||||
"230/030"|"03009"|"GLENWOOD SPRINGS #2"|"CO"||"US"|||"COOP"|||"GLWC2 TDL REQUEST"|"39 34 N / 107 19 W"||||||
"230/030"|"03010"|"DURANGO"|"CO"||"US"||"4V5"|"A"|||"4V5 (AFTER 1974) SEE 93004,5"|"37*09'00""N 107*45'00""W"||"6675 FT"|"6685 FT"|"6679.00 FT"|"6685 FT"|
"230/030"|"03011"|"TELLURIDE "|"CO"||"US"||"TEX"|"AWOS"||||||||||
"230/030"|"03012"|"TAOS"|"NM"||"US"||"SKX"|"AWOS"||||||||||
"230/030"|"03013"|"LAMAR"|"CO"|"POWERS"|"US"|"MUNICIPAL APT"|"LAA"|"ASOS"|"5/17/1995"|||"38*04'12""N 102*41'17""W"|||"3704 FT"|||
"230/030"|"03014"|"TORREON NAVAJO MISSON"|"NM"||"US"||"4SL"|"AIRWAY OBS/AWOS 4/25/05"|"4/25/2005"||"AIRWAY OBS/AWOS 4/25/05"|||||||
"230/030"|"03015"|"STAR LAKE"||||"JOHNSON RANCH"|"4SL"|"AC"||||||||||
"230/030"|"03016"|"RIFLE"|"CO"||"US"|"GARFIELD CNTY APT"|"RIL"|"SAWRS"||||||||||
"230/030"|"03017"|"DENVER INTL APT"|"CO"||"US"||"DVX-DEN NEW IN 1994"|"FCWOS"||||||||||
"230/030"|"03018"|"DENVER FRONT RANGE APT"|"CO"||"US"||"FTG"|"NEXRAD"||||||||||
"230/030"|"03019"|"ALBUQUERQUE"|"NM"||"US"||"ABX"|"NEXRAD"||||||||||
"230/030"|"03020"|"EL PASO WFO"|"NM"||"US"|"SANTA TERESA"|"EPZ"|"U/A, NEXRAD"||||||||||
"230/030"|"03021"|"PUEBLO"|"CO"||"US"||"KPUX"|"NEXRAD"||||||||||
"230/030"|"03022"|"CANNON AFB"|"NM"||"US"|"FIELD VILLAGE"|"KFDX"|"DOD NEXRAD"||||||||||
"230/030"|"03023"|"HOLLOMAN AFB/ALAMOGORDO (WHITE SAND)"|"NM"||||"KHDX"|"DOD NEXRAD"||||||||||
"230/030"|"03024"|"BORGER"|"TX"|"HUTCHINSON"|"US"|"HUTCHISON CO APT"|"BGD"|"ASOS-EXP/FAA"|"12/19/1995"|"12/18/1995"||"35*42'00""N 101*24""00""W"|"3041 FT"|||||
"230/030"|"03025"|"GRAND JUNCTION/MESA CO"|"CO"||"US"||"KGJX"|"NEXRAD"||||||||||
"230/030"|"03026"|"BURLINGTON"|"CO"|"KIT CARSON"|"US"|"KIT CARSON CO APT"|"ITR"|"ASOS "|"4/22/1997"|"4/10/1997"||"39*14'41""N 102*17'03""W"|||"4217 FT"|||
"230/030"|"03027"|"CLINES CORNER"|"CO"||"US"||"CQC/P70"|"ASOS-NWS"|"5/28/1998"|"5/27/1998"|"WAS A RAMOS SITE P70"|"35*00'10""N 105*39'46""W"||"7086 FT"||||
"230/030"|"03028"|"SPRINGFIELD"|"CO"|"BACA"|"US"|"COMANCHE NATL GRASSLAND "|"SPD"|"ASOS-NWS"|"6/29/1998"|"6/25/1998"||"37*17'00""N 102*36'50""W"|||"4380 FT"|||
"230/030"|"03029"|"WINDOW ROCK"|"AZ"|"APACHE"|"US"|"WINDOW ROCK APT"|"P34/RQE"|"ASOS-NWS"|"8/19/1998"|"8/18/1998"|"P34 CHANGED TO RQE"|"35*39'27""N 109*03'41""W"|" "||"6739 FT"|||
"230/030"|"03030"|"GUYMON"|"OK"|"TEXAS"|"US"|"GUYMON MUNI APT"|"GUY"|"ASOS-NWS"|"12/1/1998"|"12/1/1998"||"36*41'00""N 101*30'00""W"|||"3123 FT"|||
"230/030"|"03031"|"ODESSA"|"TX"|"ECTOR"|"US"|"SCHLEMEYER FIELD"|"ODO/EO2"|"ASOS-FAA"|"12/1/1998"|"12/1/1998"|"ODO CHANGED TO EO2"|"31*55'14""N 102*23'12""W"|||"3001 FT"|||
"230/030"|"03032"|"DRYDEN"|"TX"|"TERRELL"|"US"|"TERRELL COUNTY APT"|"6R6"|"ASOS-NWS"|"6/17/1999"|"6/15/1999"||"30*02'53""N 102*12'47""W"|"2322 FT"|||||
"230/030"|"03033"|"MORIARTY"|"NM"||"US"|"MORIARTY AP"|"0E0"|"AWOS"||||||||||
"230/030"|"03034"|"ALBUQUERQUE"|"NM"||"US"|"DOUBLE EAGLE II AP"|"AEG"|"AWOS"||||||||||
"230/030"|"03035"|"ARTESIA"|"NM"||"US"|"ARTESIA MUNICIPAL AP"|"ATS"|"AWOS"||||||||||
"230/030"|"03036"|"BLANDING"|"UT"||"US"|"BLANDING MUNI AP"|"BDG"|"AWOS"||||||||||
"230/030"|"03037"|"COLBY"|"KS"||"US"|"SHALTZ FIELD AP"|"CBK"|"AWOS"||||||||||
"230/030"|"03038"|"RED CLIFF PASS"|"CO"||"US"|"RED CLIFF PASS"|"CCU"|"AWOS"||||||||||
"230/030"|"03039"|"WOLFCREEK PASS"|"CO"||"US"|"WOLFCREEK PASS"|"CPW"|"AWOS"||||||||||
"230/030"|"03040"|"MONUMENT PASS"|"CO"||"US"|"MONUMENT PASS"|"MNH"|"AWOS"||||||||||
"230/030"|"03041"|"MONARCH PASS"|"CO"||"US"|"MONARCH PASS"|"MYP"|"AWOS"||||||||||
"230/030"|"03042"|"LA VETA PASS"|"CO"||"US"|"LA VETA PASS"|"VTP"|"AWOS"||||||||||
"230/030"|"03043"|"ATWOOD-RAWLINS COUNTY"|"KS"|"RAWLINS"|"US"|"CITY-COUNTY AP"|"ADT"|"FAA/AWOS"|"8/26/2002"|"8/26/2002"||"39*50'24""N 101*02'31""W"|"2991 FT"|||||
"230/030"|"03044"|"BIG SPRING"|"TX"||"US"|"MCMAHON-WRINKLE AP"|"T49/BPG"|"AWOS"|||"T49  CHGD CALL SIGN TO BPG 3/27/03"|||||||
"230/030"|"03045"|"PERRYTON"|"TX"||"US"|"OCHILTREE COUNTY AP"|"PYX"|"AWOS"||||||||||
"230/030"|"03046"|"SANTA FE"|"NM"||"US"|"CITY OFFICE"||||||||||||
"230/030"|"03047"|"MONAHANS 6 ENE"|"TX"||"US"|"(SANDHILLS STATE PK)"||"USCRN"|||"GOES ID# CD01B140"|||||||
"230/030"|"03048"|"SOCORRO 20 N"|"NM"||"US"|"SEVILLETA NATIONAL WILDLIFE REFUGE (LTER SITE)"||"USCRN"|||"GOES ID# CD01C7D0"|||||||
"230/030"|"03049"|"ALPINE"|"TX"||"US"|"CASPARIS MUNI AP"|"E38"|"AWOS"||||||||||
"230/030"|"03050"|"SNYDER"|"TX"||"US"|"WINSTON FIELD AP"|"SNK"|"AWOS"||||||||||
"230/030"|"03051"|"LEOTI"|"KS"||"US"|"MARK HOARD MEMORIAL AP"|"3K7"|"AWOS"||||||||||
"230/030"|"03052"|"PAMPA"|"TX"||"US"|"PERRY LEFORS FIELD AP"|"PPA"|"AWOS"||||||||||
"230/030"|"03053"|"SANTA TERESA"|"NM"||"US"|"DONA ANA COUNTY AP"|"5T6"|"AWOS"||||||||||
"230/030"|"03054"|"MULESHOE 19 S"|"TX"||"US"|"MULESHOE NATL WILDLIFE REFUGE"||"USCRN"|||"GOES ID# 0371AA"|||||||
"230/030"|"03055"|"GOODWELL 2 E"|"OK"||"US"|||"USCRN"|||"GOES ID# CD03812E"|||||||
"230/030"|"03056"|"SEMINOLE"|"TX"||"US"|"GAINES COUNTY AP"|"31F/GNC"|"AWOS"|||"31F (CHANGED TO GNC 4/20/2004)"|||||||
"230/030"|"03057"|"CLIFTON "|"AZ"||"US"||||||"CDMP PROJECT (1950-1959 POR)"|||||||
"230/030"|"03058"|"PECOS"|"TX"||"US"|"PECOS MUNI AP"|"PEQ"|"AWOS"||||||||||
"230/030"|"03059"|"SONORA"|"TX"||"US"|"SONORA MUNI AP"|"E29"|"AWOS"||||||||||
"230/030"|"03060"|"MONTROSE 11 ENE"|"CO"||"US"|"BLACK CANYON OF THE GUNNISON NP"||"USCRN"|||"GOES ID# 03D152"|||||||
"230/030"|"03061"|"CORTEZ 8 SE"|"CO"||"US"|"MESA VERDE NATIONAL PARK"||"USCRN"|||"GOES ID# 0767E6"|||||||
"230/030"|"03062"|"LOS ALAMOS 13 W"|"NM"||"US"|"VALLES CALDERA NAT PRESERVE (HQ SITE)"||"USCRN"|||"GOES ID# 05B47A"|||||||
"230/030"|"03063"|"LA JUNTA 17 WSW"|"CO"||"US"|"USDA COMANCHE NATL GRASSLAND"||"USCRN"|||"GOES ID# 03E4C8"|||||||
"230/030"|"03064"|"BUENA VISTA"|"CO"||"US"|"CENTRAL COLORADO REGIONAL AP"|"7V1"||||"CALL SIGN 7V1 (1363 DOCS)"|||||||
"230/030"|"03065"|"DENVER"|"CO"||"US"|"JEFFCO AIRPORT"|"BJC"|"FAA/AWOS"|"5/24/2005"|||||||||
"230/030"|"03066"|"BIG SPRING"|"TX"||"US"|"HOWARD COUNTY AP"||"FAA/AWOS"|"8/27/2005"|||||||||
"230/030"|"03067"|"OAKLEY 19SSW"|"KS"||"US"|||"USCRN"|"10/26/2005"||"GOES ID# 07527C"|"38 52 1/-100 57 8"||||||
"230/030"|"03068"|"BULLSEYE AUXILIARY AIRFIELD USAFA"|"CO"||"US"|"BULLSEYE USAFA"|"KABH"|"USAF/ASOS"|"5/17/2006"|||||||||
"230/030"|"03069"|"SAGUACHE MUNI AP"|"CO"||"US"|"SAGUACHE MUNI AP"|"OA4"|"AWOS"|"10/6/2006"|||||||||
"230/030"|"03070"|"DUMAS"|"TX"||"US"|"MOORE CO AP"|"DUX"|"AWOS"|"10/26/2006"|||||||||
"230/030"|"03071"|"MIDLAND "|"TX "||"US"|"MIDLAND AIRPARK"|"MDD"|"AWOS"|"10/26/2006"|||||||||
"230/030"|"03072"|"BRONTE 11 NNE"|"TX"||"US"|"BRONTE 11 NNE"||"USCRN"|"12/13/2006"|||||||||
"230/030"|"03073"|"CROCKETT"|"TX"||"US"|"HOUSTON COUNTY AP"|"DKR"|"AWOS"|"1/16/2007"|||||||||
"230/030"|"03074"|"LAS CRUCES 20N"|"NM"||"US"|||"CRN"|"1/27/2007"|||||||||
"230/030"|"03075"|"DULCE 1 NW"|"NM"||"US"|"COUNTY RIO ARRIBA"||"HCNM"|"4/1/2009"|||||||||
"230/030"|"03076"|"GRAND JUNCTION 9W"|"CO"||"US"|"MESA COUNTY"||"HCNM"|"4/1/2009"|||||||||
"230/030"|"03077"|"HOLBROOK 17 ESE"|"AZ"||"US"|"NAVAJO COUNTY"||"HCNM"|"4/2/2009"|||||||||
"230/030"|"03078"|"EADS 16 ENE"|"CO"||"US"|"KIOWA COUNTY"||"HCNM"|"4/3/2009"|||||||||
"230/030"|"03079"|"SAGUACHE 2 WNW"|"CO"||"US"|"SAGUACHE"||"HCNM"|"4/2/2009"|||||||||
"230/030"|"03080"|"RESERVE 1W"|"NM"||"US"|||"HCNM"|"4/9/2009"|||||||||
"230/030"|"03081"|"TROPIC 9 SE"|"UT"||"US"|"KANE COUNTY"||"HCNM"|"4/10/2009"|||||||||
"230/030"|"03082"|"CARRIZOZO 1W"|"NM"||"US"|"LINCOLN COUNTY"||"HCNM"|"7/2/2009"|||||||||
"230/030"|"03083"|"STRATTON 24 N"|"CO"||"US"|"YUMA"||"HCNM"|"07/02/209"|||||||||
"230/030"|"03084"|"CENTER A4 SSW"|"CO"||"US"|"RIO GRANDE COUNTY"||"HCNM"|"7/8/2009"|||||||||
"230/030"|"03085"|"BOWIE 23 SSE"|"NM"||"US"|"WILLCOX"||"HCNM"|"8/4/2009"|||||||||
"230/030"|"03086"|"SPRINGFIELD 6WSW"|"CO"|"BACA"|"US"|||"HCNM"|"07/06/2010"|||"37.381230 N  / -102.719363 W"||"4548 FT"||||
"230/030"|"03087"|"SANTA FE 20"|"NM"||"US"|"LOS ALAMOS"||"HCNM"|"10/26/2009"|||||||||
"230/030"|"03088"|"WOODLAND PARK 14 WSW"|"CO"||"US"|"TELLER"||"HCNM"|"10/27/2009"|||||||||
"230/030"|"03089"|"ROCKY FORD 1ESE"|"CO"||"US"|"OTERO"||"HCNM"|"11/2/2009"|||||||||
"230/030"|"03090"|"TAOS 27NW"|"CO"||"US"|"TAOS"||"HCNM"|"11/2/2009"|||||||||
"230/030"|"03091"|"KIM 9 WSW"|"CO"||"US"|"ANIMAS"||"HCNM"|"11/03/09`"|||||||||
"230/030"|"03092"|"RATON 26 ESE"|"NM"||"US"|"CAPULIN VOLCANO NATL MON"||"HCNM"|"1/5/2010"|||||||||
"230/030"|"03093"|"GENOA 35N"|"HCNM"||"US"|||"HCNM"|"2/3/2010"||"STN NAME WAS ENTERED AS GENOA 35S AND HAS BEEN CORRECTED TO GENOA 35N PER ROCKY BILOTTA (5/19/2010)"|||||||
"230/030"|"03094"|"CLAYTON 3 ENE"|"HCNM"||"US"|||"HCNM"|"2/3/2010"|||||||||
"230/030"|"03095"|"MILLS 6WSW"|"HCNM"||"US"|||"HCNM"|"2/3/2010"|||||||||
"230/030"|"03096"|"RIFLE 23"|"HCNM"||"US"|"RIO BLANCO COUNTY"||"HCNM"|"2/4/2010"|||||||||
"230/030"|"03097"|"MOUNTAINAIR 2WSW"|"HCNM"||"US"|"TORRANCE COUNTY"||"HCNM"|"2/4/2010"|||||||||
"230/030"|"03098"|"EAGLE 13 SSE"|"HCNM"||"US"|"EAGLE "||"HCNM"|"5/11/2010"|||"39.482777N / -106.733888W / 8635 FT "||||||
"230/030"|"03099"|"CRAIG 30N"|"HCNM"||"US"|||"HCNM"|"5/12/2010"|||"40.947933N / -107.608222W / 6504FT"||||||
"231/031"|"03101"|"SHOW LOW AP"|"AZ"||"US"|||"SAWRS"||||||||||
"231/031"|"03102"|"ONTARIO"|"CA"||"US"||"ONT"|"SAWRS/FAA"||||"34*03'22""N 117*36'01""W"||||||
"231/031"|"03103"|"FLAGSTAFF"|"AZ"||"US"||"FLG"|"WBAS/NWS"||||"35*35'08""N 111*40'14""W"||||||
"231/031"|"03104"|"THERMAL"|"CA"|"RIVERSIDE"|"US"|"PALM SPRINGS DESERT RESORTS REGIONAL AP"|"TRM"|"CAA/FAA/ASOS"|"10/11/2000"|"10/11/2000"|"FAA/ASOS (10/11/2000)"|"33*37'40""N 116*09'36""W"|||"-177 FT"|||
"231/031"|"03105"|"INDIO"|"CA"||"US"|||"WB"||||||||||
"231/031"|"03106"|"RIVERSIDE"|"CA"||"US"|"MARCH FIELD"||"WB"||||||||||
"231/031"|"03107"|"NEWPORT BEACH"|"CA"||"US"|" "||"WB"||||||||||
"231/031"|"03108"|"TEJON RANCHO"|"CA"||"US"|||"WB"||||||||||
"231/031"|"03109"|"AEC COMMAND POST (NEAR LAS VEGAS)"|"NV"||"US"|||||||||||||
"231/031"|"03110"|"BEATTY"|"NV"||"US"|||"AF"||||||||||
"231/031"|"03111"||||||"AER"||||"WAS AER TEST SITE NV"|||||||
"231/031"|"03112"|"SAN CLEMENTE ISLAND"|"CA"||"US"|||||||||||||
"231/031"|"03113"|"CALIENTE"|"NV"||"US"|||||||||||||
"231/031"|"03114"|"CRYSTAL SPRINGS"|"NV"||"US"|||||||||||||
"231/031"|"03115"|"CURRANT"|"NV"||"US"|||||||||||||
"231/031"|"03116"|"GROOM MINE"|"NV"||"US"|||||||||||||
"231/031"|"03117"|"PONY SPRINGS "|"NV"||"US"|||||||||||||
"231/031"|"03118"|"WARM SPRINGS"|"NV"||"US"|||||||||||||
"231/031"|"03119"|"LAGUNA "|"AZ"||"US"|"TASK FORCE FURNACE"||||||||||||
"231/031"|"03120"|"INYOKERN"|"CA"||"US"|"USN B1 RANGE"||||||||||||
"231/031"|"03121"|"ST GEORGE"|"UT"||"US"|||||||||||||
"231/031"|"03122"|"FORT MACARTHUR"|"CA"||"US"|||||||||||||
"231/031"|"03123"|"CAMP PENDLETON"|"CA"||"US"|||"AF"||||||||||
"231/031"|"03124"|"FORT HUACHUCA"|"AZ"||"US"|||"AEPG"||||||||||
"231/031"|"03125"|"YUMA"|"AZ"||"US"|"SIG CORPS TEST STN"||||||||||||
"231/031"|"03126"|"FURNACE CREEK"|"CA"||"US"|||"AFS"||||||||||
"231/031"|"03127"|"NEEDLES "|"CA"||"US"|||"AFS"||||||||||
"231/031"|"03128"|"ROUND MOUNTAIN"|"NV"||"US"|||"AFS"||||||||||
"231/031"|"03129"|"MOJAVE"|"CA"||"US"|||"MCAAS"||||||||||
"231/031"|"03130"|"SANTA MONICA"|"CA"||"US"|||"WBAS"||||||||||
"231/031"|"03131"|"SAN DIEGO"|"CA"||"US"|"MONTGOMERY FLD"|"MYF"|"FAA/ASOS"|"1/13/1998"|"1/16/1998"||"32*48'57""N 117*08'22""W"|||"423 FT"|||
"231/031"|"03132"|"TONOPAH"|"NV"||"US"|"MUNICIPAL AIRPORT"||"WB"||||||||||
"231/031"|"03133"|"*YUCCA FLATS"|"NV"||"US"|"TEAM 21"||"WB"||||||||||
"231/031"|"03134"|"BAKER"|"CA"||"US"|"TEAM 19"||||||||||||
"231/031"|"03135"|"INDAIN SPRINGS"|"NV"||"US"|"TEAM 7"||"AFB"||||||||||
"231/031"|"03136"|"TEMPIUTE"|"NV"||"US"|"LINCOLN MINE/TEAM 4"||||||||||||
"231/031"|"03137"|"OVERTON"|"NV"||"US"|"AIRPORT/TEAM 2"||||||||||||
"231/031"|"03138"|"SHOSHONE"|"NV"||"US"|"TEAM 5"||||||||||||
"231/031"|"03139"|"ALAMO"|"NV"||"US"|||"WB "||||||||||
"231/031"|"03140"|"ST GEORGE"|"AZ"||"US"|||"WB"||||||||||
"231/031"|"03141"|"BEATTY"|"NV"||"US"|||"WB"||||||||||
"231/031"|"03142"|"SHOSHONE"|"CA"||"US"|||"WB"||||||||||
"231/031"|"03143"|"JACKASS FLATS"|"NV"||"US"|||"WB"||||||||||
"231/031"|"03144"|"IMPERIAL"|"CA"|"IMPERIAL"|"US"|"IMPERIAL COUNTY AP"|"IPL"|"FAA/ASOS"|"8/16/2000"|"8/16/2000"|"FAA/ASOS (8/16/2000)"|"32*50'03""N 115*34'43""W"|||"-56 FT"|||
"231/031"|"03145"|"YUMA"|"AZ"||"US"|||"MCAAS"||||||||||
"231/031"|"03146"|"EL CENTRO"|"CA"||"US"|"RANGE ONE/ALF"||||||||||||
"231/031"|"03147"|"CUDDEBACK"|"CA"||"US"|"AIRGND RANGE"||||||||||||
"231/031"|"03148"|"GILA BEND"|"CA"||"US"|||"AAFB"||||||||||
"231/031"|"03149"|"PHOENIX"|"AZ"||"US"|"LITCHFIELD PK/FLT A"||||||||||||
"231/031"|"03150"|"TOPOCK"|"AZ"||"US"|||||||||||||
"231/031"|"03151"|"YUCCA"|"AZ"||"US"|||||||||||||
"231/031"|"03152"|"MOJAVE"|"NV"||"US"|||||||||||||
"231/031"|"03153"|"SANTA ANA"|"CA"||"US"|"EL TORO MCAS"||||||||||||
"231/031"|"03154"|"CAMP PENDLETON"|"CA"||"US"|||"MCB"||||||||||
"231/031"|"03155"|"UPPER VAN NORMAN"|"CA"||"US"|"SOLORSBSY"||||||||||||
"231/031"|"03156"|"ZURF SITE"|"NM"||"US"|||||||||||||
"231/031"|"03157"|"LONG BEACH"|"CA"||"US"|||"NS"||||||||||
"231/031"|"03158"|"SAN NICHOLAS ISLAND"|"CA"||"US"|||"NAS"||||||||||
"231/031"|"03159"|"LANCASTER"|"CA"|"LOS ANGELES"|"US"|"GENERAL WILLIAM J FOX AIRFIELD"|"WJF"|"FAA/ASOS"|"12/13/2000"|"12/13/2000"|"FAA/ASOS (12/13/2000)"|"34*44'27""N 118*13'08""W"|" "||"2347 FT"|||
"231/031"|"03160"|"DESERT ROCK"|"NV"||"US"||"DRA"|"NWS"||||"36*37'00""N 116*01'00""W"||||||
"231/031"|"03161"|"DESERT ROCK"|"NV"||"US"|||"NWS"||||||||||
"231/031"|"03162"|"PAGE"|"AZ"||"US"|"PAGE MUNI. AP"|"PGA"|"NWS/AMOS"||||"36*55'34""N 111*26'52""W"|"4310 FT"|||||
"231/031"|"03163"|"CALIENTE"|"NV"||"US"||"P38"|"NWS/AMOS/FAA"|"9/3/1997"|"8/7/1997"||"37*37'00""N 114*31'00""W"|"4380 FT"|||||
"231/031"|"03164"|"CAMPO"|"CA"||"US"||"CZZ"|||||||||||
"231/031"|"03165"|"EL MONTE"|"CA"||"US"||"EMT"|||||||||||
"231/031"|"03166"|"FULLERTON"|"CA"||"US"||"FUL"|"FAA/ASOS"||||"33*52'19""N 117*58'44""W"|"96 FT"|||||
"231/031"|"03167"|"HAWTHORNE"|"CA"|"LOS ANGELES"|"US"|"HAWTHORNE MUNI AP"|"HHR"|"FAA/ASOS"|"11/12/1998"|"11/10/1998"||"33*55'22""N 118*20'03""W"|||"63 FT"|||
"231/031"|"03168"|"LAKE HAVASU CITY"|"AZ"||"US"||"LHU"|||||||||||
"231/031"|"03169"|"LUKEVILE *"|"AZ"||"US"||"P65"|"AMOS"||||||||||
"231/031"|"03170"|"EUREKA *"|"NV"||"US"||"P68"|"AMOS/FAA"|"9/3/1997"|"8/13/1997"||"39*31'00""N 115*58'00""W"|"6539 FT"|||||
"231/031"|"03171"|"RIVERSIDE"|"CA"|"RIVERSIDE"|"US"|"RIVERSIDE MUNI AP"|"RAL"|"FAA/ASOS"|"7/24/1998"|"7/23/1998"||"33*57'07""N 117*26'19""W"|||"816 FT"|||
"231/031"|"03172"|"SANTEE/GILLESPIE"|"CA"||"US"||"SEE"|||||||||||
"231/031"|"03173"|"SANTA CRUZ ISLAND"|"CA"||"US"||"SZN"|||||||||||
"231/031"|"03174"|"TORRANCE"|"CA"||"US"||"TOA"|"FAA/AWOS"|"4/25/2005"||"AWOS 04/25/05"|||||||
"231/031"|"03175"|"BULL FROG MARINA"|"UT"||"US"||"U17"|||||||||||
"231/031"|"03176"|"SUPERIOR VALLEY AGGR"|"CA"||"US"|||||||||||||
"231/031"|"03177"|"CARLSBAD"|"CA"||"US"|"PALOMAR AIRPORT"|"CRQ"|"FAA"||||"33*07'41""N 117*16'46""W"||||||
"231/031"|"03178"|"SAN DIEGO"|"CA"||"US"|"BROWN FIELD"|"SMD"|||||"32*34'20""N 116*58'46""W"||||||
"231/031"|"03179"|"CHINO"|"CA"||"US"||"CNO"|||||||||||
"231/031"|"03180"|"LAVERNE"|"CA"||"US"||"POC"|||||||||||
"231/031"|"03181"|"MAMMOTH LAKE"|"CA"||"US"||"MMH"|"FAA/AWOS"||||||||||
"231/031"|"03182"|"BARSTOW"|"CA"||"US"|"FORT IRWIN"|"BYS"|"AAF (NG)"||||||||||
"231/031"|"03183"|"MOJAVE"|"CA"||"US"||"MHV"|"SAWRS/FAA/AWOS"|"5/24/2005"||"SAWRS CHG TO FAA/AWOS 05/2005 /  AWOS 05/24/05"|||||||
"231/031"|"03184"|"DEER VALLEY"|"AZ"|"MARICOPA"|"US"|"PHOENIX-DEER VALLEY APT"|"DVT"|"LAWRS/FAA/ASOS"|"9/3/1998"|"9/2/1998"||"33*41'18""N 112*04'54""W"|||"1476 FT"|||
"231/031"|"03185"|"MESA"|"AZ"||"US"|"FALCON FIELD"|"FFZ"|"SAWRS/LAWRS"||||||||||
"231/031"|"03186"|"GOODYEAR"|"AZ"||"US"|"PHOENIX-LITCHFIELD APT"|"GYR"|"LAWRS/AWOS"|"8/26/2005"||"AWOS 08/26/05"|||||||
"231/031"|"03187"|"GOAT MOUNTAIN"|"CA"||"US"|"LIVE FIRE TOC  "|"KQIS"|"ARMY"||||||||||
"231/031"|"03188"|"FT HUACHUCA"|"AZ"||"US"|||"U/A"||||||||||
"231/031"|"03189"|"TWENTY NINE PALMS"|"CA"||"US"|||"NAAS-U/A"||||||||||
"231/031"|"03190"|"SAN DIEGO"|"CA"||"US"|"MIRAMAR WSCMO"||"U/A"|||"NEW U/A SITE 9/1989"|||||||
"231/031"|"03191"|"TONOPAH TEST RANGE"|"NV"||"US"||"TNX"||"1/1/1982"|||"37 48 N / 116 47 W"|"5548 FT"|||||
"231/031"|"03192"|"SCOTTSDALE"|"AZ"|"MARICOPA"|"US"|"SCOTTSDALE MUNI AP"|"SDL"|"FAA/ASOS"|"11/5/2001"|"10/30/2001"|"FAA/ASOS (11/05/2001)"|"33*37'22""N 111*54'38""W"||"1473 FT"|"1508 FT"|"1469 FT"|"1510 FT"|
"231/031"|"03193"|"KAYENTA"|"AZ"||"US"||"0V7"|"AWOS"||||"36*42'35""N 110*14'10""W"||||||
"231/031"|"03194"|"CASA GRANDE"|"AZ"||"US"||"CZG"|"AWOS"||||||||||
"231/031"|"03195"|"GRAND CANYON NATIONAL PARK"|"AZ"|"COCONINO"|"US"|"GRAND CANYON NATIONAL PARK APT"|"GCN"|"AWOS"|"12/1/1993"|||"35*56'46""N 112*09'17""W"||||||
"231/031"|"03196"|"NOGALES"|"AZ"|"SANTA CRUZ"|"US"|"NOGALES INTL AP"|"MAE/13A/ OLS"|"AMOS/FAA/ASOS"|"7/28/1999"|"7/28/1999"|"FAA/ASOS (7/28/1999) / 13A CHANGED TO OLS"|"31*25'15""N 110*50'45""W"|||"3932 FT"|||
"231/031"|"03197"|"EDWARDS AFB"|"CA"||"US"|||"U/A"|||"U/A BEG. 1991 SEE 23114 FROM 1951-1968 WBAN REQUIRED BY DOB UA OBS IN THE PAST 1951-1968 WERE PROCESSED WITH WBAN 23114. BECAUSE OF TIME GAP AND SIGNIFICANT DIFFERENCE IN LOCATION BETWEEN UA AND SURFACE SITES NEW WBAN WAS ASSIGNED"|"34 54 N / 117 55 W"|"724 FT"|||||
"231/031"|"03198"|"RENO"|"NV"||"US"|||"WFO"|||"REV U/A SITE (NEW WFO)"|||||||
"231/031"|"03199"|"KITT PEAK"|"AZ"||"US"|"AIR SAMPLE STATION"||||||||||||
"137/037"|"03701"|"NORFOLK"|"VA"||"US"|"CHESAPEAKE RGNL AP"|"CPK"|"AWOS"||||||||||
